description,title,uri,thumb,py_type,titel,beschreibung,link,date,associated_profiles,associated_refs,created_at,labels,reading_time,source,updated_at
Nur ihre Dauerrivalin Simona Quadarella war schneller: Bei der Schwimm-EM hat es für Isabel Gose immerhin zu Silber gereicht. Sie landete vor ihrer Trainingspartnerin aus Magdeburg.,Schwimm-EM: Isabel Gose und Maya Werner gewinnen Silber und Bronze über 800 Meter Freistil,https://www.spiegel.de/sport/schwimm-em-isabel-gose-und-maya-werner-gewinnen-silber-und-bronze-ueber-800-meter-freistil-a-cb9ef78d-5df9-424f-907c-a5f5d53a64a2?sara_ref=re-so-bluesky-rss#ref=rss,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:6xofcnvvojjnmggqx43zghwh/bafkreiccv6fwcic63r3vvdxyqbgn26pbrwrbpb3chf6hzicevkzjqtdt2e,app.bsky.embed.external#viewExternal,Schwimm-EM: Isabel Gose und Maya Werner gewinnen Silber und Bronze über 800 Meter Freistil,Nur ihre Dauerrivalin Simona Quadarella war schneller: Bei der Schwimm-EM hat es für Isabel Gose immerhin zu Silber gereicht. Sie landete vor ihrer Trainingspartnerin aus Magdeburg.,https://www.spiegel.de/sport/schwimm-em-isabel-gose-und-maya-werner-gewinnen-silber-und-bronze-ueber-800-meter-freistil-a-cb9ef78d-5df9-424f-907c-a5f5d53a64a2,,,,,,,,
"Jedes Wochenende verbringen Fußballfans etliche Stunden in stickigen Reisebussen. Fünf Organisatoren erklären, warum das immer noch die schönsten Auswärtsfahrten sind.",Fußballfans: Auswärtsfahrten im Fanbus – Abfahrt!,https://www.11freunde.de/fussballkultur/fussballfans-auswaertsfahrten-im-fanbus-abfahrt-a-c0841fec-c404-4b77-94be-f7aff88260c2?sara_ref=re-so-bluesky-rss#ref=rss,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:6xofcnvvojjnmggqx43zghwh/bafkreieumpur2mgrp5mkug5zkhaev3xv7gfxwspmdcnpio66umpoze3dhq,app.bsky.embed.external#viewExternal,Fußballfans: Auswärtsfahrten im Fanbus – Abfahrt!,"Jedes Wochenende verbringen Fußballfans etliche Stunden in stickigen Reisebussen. Fünf Organisatoren erklären, warum das immer noch die schönsten Auswärtsfahrten sind.",https://www.11freunde.de/fussballkultur/fussballfans-auswaertsfahrten-im-fanbus-abfahrt-a-c0841fec-c404-4b77-94be-f7aff88260c2,,,,,,,,
"Chemieanlagen, Flüssiggas, eine Ölpipeline: Wenn man Deutschland empfindlich treffen will, dann ist Brunsbüttel ein guter Ort. Drohnen? Kreisten hier schon oft. ","Bedrohung durch Drohnen: Wenn sie Putin wären, würden sie auch hier angreifen",https://www.zeit.de/politik/deutschland/2026-08/bedrohung-drohnen-sicherheitspolitik-kritische-infrastruktur-schleswig-holstein?utm_medium=redpost&utm_source=bluesky&utm_campaign=zeitde,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:42pjb4dy3p3ubiekmwpkthen/bafkreiev7kfbjx757bui7pnjnmuqqwzy7bwdoqskechm77xjussqekil3e,app.bsky.embed.external#viewExternal,"Bedrohung durch Drohnen: Wenn sie Putin wären, würden sie auch hier angreifen","Chemieanlagen, Flüssiggas, eine Ölpipeline: Wenn man Deutschland empfindlich treffen will, dann ist Brunsbüttel ein guter Ort. Drohnen? Kreisten hier schon oft.",https://www.zeit.de/politik/deutschland/2026-08/bedrohung-drohnen-sicherheitspolitik-kritische-infrastruktur-schleswig-holstein,2026-08-11,,,,,,,
"Kurz vor der Sonnenfinsternis sind Schutzbrillen vielerorts ausverkauft. Um den Anblick sicher zu genießen, kann man sich ganz einfach selbst einen Schutz basteln.",Sonnenfinsternis-Brillen ausverkauft: Lochkamera einfach selbst basteln – Material hat jeder zuhause,https://www.fr.de/verbraucher/brillen-fuer-sonnenfinsternis-ausverkauft-so-macht-man-eine-lochkamera-selbst-zr-94439095.html,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:5437aw4v4kbpsd4kvgabas2b/bafkreihewlg4gunyyfom6z746p3iagjpbumo2jlxndmj4okhdotmygwnnq,app.bsky.embed.external#viewExternal,so basteln Sie eine Lochkamera selbst,"Kurz vor der Sonnenfinsternis sind Schutzbrillen vielerorts ausverkauft. Um den Anblick sicher zu genießen, kann man sich ganz einfach selbst einen Schutz basteln.",https://www.fr.de/verbraucher/brillen-fuer-sonnenfinsternis-ausverkauft-so-macht-man-eine-lochkamera-selbst-zr-94439095.html,,,,,,,,
The president’s zero-sum mind-set is turning us all into losers.,Opinion | Trump Is Trapped in a Maelstrom of His Own Making,https://nyti.ms/4xxT4NJ,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:eclio37ymobqex2ncko63h4r/bafkreiffustnkecbmoskihjjbafam4pmow25sdtjdjtfk6d5wxtn3ar7iq,app.bsky.embed.external#viewExternal,error,error,https://nyti.ms/4xxT4NJ,,,,,,,,
Statt der Todesstrafe droht Verurteilten künftig eine lebenslange Haft mit schwerer Zwangsarbeit.,Libanon schafft Todesstrafe ab,https://www.tagesschau.de/ausland/asien/libanon-abschaffung-todesstrafe-100.html,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:vk2mooi24pafrjmhpg4ymrv3/bafkreidcdwkxe2o5cvaoj2fx4nnbvqobhji67gkidvxa2qnuqsybwsoiqu,app.bsky.embed.external#viewExternal,Mehrheit im Parlament für Abschaffung der Todesstrafe im Libanon,Im Libanon gibt es keine Todesstrafe mehr. Dafür hat eine Mehrheit der Abgeordneten im Parlament gestimmt - bis auf den Hisbollah-Block. Statt der Todesstrafe droht Verurteilten künftig lebenslange Haft mit schwerer Zwangsarbeit.,https://www.tagesschau.de/ausland/asien/libanon-abschaffung-todesstrafe-100.html,,,,,,,,
"President Trump was part of a particularly elaborate deception last month, boarding one jet before being spirited away to another.","Before Trump’s Catering Container Ruse, Other Presidents Obscured Risky Travel Plans",https://nyti.ms/4htLrmS,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:eclio37ymobqex2ncko63h4r/bafkreig2rgzwsh56owlux457rnn4xquqk4bzni4n7zfzoemlcsimmfmj4a,app.bsky.embed.external#viewExternal,error,error,https://nyti.ms/4htLrmS,,,,,,,,
"Über mehrere Jahre saß der ehemalige Marinesoldat Robert Gilman in russischer Gefangenschaft. US-Präsident Donald Trump feiert nun, dass Moskau einer Freilassung zugestimmt habe – angeblich ohne eine Gegenleistung.",Robert Gilman: Ehemaliger US-Marine aus russischer Haft entlassen,https://www.spiegel.de/ausland/robert-gilman-ehemaliger-us-marine-aus-russischer-haft-entlassen-a-2003c162-3db3-44c0-837a-b0b1f243e1cf?sara_ref=re-so-bluesky-rss#ref=rss,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:6xofcnvvojjnmggqx43zghwh/bafkreifkpyzysucarzmfoz2b4m7mazgwnr3wmek6k4rnajfbbwehidvfou,app.bsky.embed.external#viewExternal,Robert Gilman: Ehemaliger US-Marine aus russischer Haft entlassen,"Über mehrere Jahre saß der ehemalige Marinesoldat Robert Gilman in russischer Gefangenschaft. US-Präsident Donald Trump feiert nun, dass Moskau einer Freilassung zugestimmt habe – angeblich ohne eine Gegenleistung.",https://www.spiegel.de/ausland/robert-gilman-ehemaliger-us-marine-aus-russischer-haft-entlassen-a-2003c162-3db3-44c0-837a-b0b1f243e1cf,,,,,,,,
Mit Drohnen will Riga illegale Migranten an der Grenze zu Belarus abwehren. Erstmals wurde dort auch ein unterirdischer Tunnel entdeckt.,Gegen Migranten an der Grenze zu Belarus: Lettland startet Operation Werwolf,https://taz.de/!6203538,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:zorx72vm56gtgv4hzl66q4zm/bafkreiahfu25txyem5mosmivl5dhwjslp3e5j53fnth2puf6nikdx4mqka,app.bsky.embed.external#viewExternal,Gegen Migranten an der Grenze zu Belarus: Lettland startet Operation Werwolf,Mit Drohnen will Riga illegale Migranten an der Grenze zu Belarus abwehren. Erstmals wurde dort auch ein unterirdischer Tunnel entdeckt.,https://taz.de/Gegen-Migranten-an-der-Grenze-zu-Belarus/!6203538/,2026-08-11,,,,,,,
"Wie muss man sich verhalten, um in einer Gruppe von Menschen mit Lernschwierigkeiten unterzutauchen? In der französischen Filmkomödie „Was ist schon Normal?“ versuchen zwei Räuber genau das, um von de...",„Was ist schon normal?“ – Selbstverständlichkeit. Eine Filmkritik. – Die Neue Norm,https://dieneuenorm.de/kultur/was-ist-schon-normal-filmkritik/,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:q2dzw5nec5wmqdig5qq7ilt6/bafkreidsraqml76aeo7lm53attkobbwtvbgfk5rto7myay7s3blre3jpwq,app.bsky.embed.external#viewExternal,error,error,https://dieneuenorm.de/kultur/was-ist-schon-normal-filmkritik/,,,,,,,,
